identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildEFQ34,parent_survey_child,"<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen, um Rollen für Rollenspiele zu planen,"<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen,"<b>Verhandelt und übernimmt die Vorschläge von Gleichaltrigen ohne Konflikt oder Widerstand</b> (z. B. überlegt es mit anderen zusammen, um Rollen für Rollenspiele zu planen, verhandelt mit Geschwistern über die gemeinsame Erledigung von Aufgaben).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Negocia con sus compañeros e incorpora sus sugerencias evitando conflicto o resistencia</b> (p. ej., trabaja con los otros para acordar los personajes que cada uno asume durante un juego de roles, negocia con un hermano cómo completar juntos las tareas del hogar).","<b>Négocie et intègre les suggestions de ses pairs sans conflit ou résistance</b> (par exemple, collabore avec d'autres pour planifier les rôles/routines pendant le jeu, négocie avec un frère sur la façon de réaliser ensemble les tâches ménagères).","<b>Négocie et intègre les suggestions de ses pairs sans conflit ou résistance</b> (par exemple, collabore avec d'autres pour planifier les rôles/routines pendant le jeu, négocie avec un frère sur la façon de réaliser ensemble les tâches ménagères).","<b>Onderhandelt en neemt suggesties van leeftijdgenoten over zonder conflict of weerstand</b> (bijv., werkt samen met anderen om rollen te plannen tijdens rollenspel, onderhandelt met broer of zus over hoe klusjes samen te voltooien).","<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together)."
CaregiverSectionIntro4,parent_survey_child,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>En esta sección se le pregunta por su entorno en el hogar.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>Cette section s'interroge sur votre environnement familial.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.,<block><b><font face=Verdana size=4>This section asks about your home environment.
HomeHOME1,parent_survey_child,Wie viele Kinderbücher haben Sie zu Hause?,Wie viele Kinderbücher haben Sie zu Hause?,,,¿Cuántos libros infantiles hay en su casa?,¿Cuántos libros infantiles hay en su casa?,¿Cuántos libros infantiles hay en su casa?,Combien de livres pour enfants y a-t-il chez vous?,Combien de livres pour enfants y a-t-il chez vous?,Ongeveer hoeveel kinderboeken zijn er in uw huis?,About how many children's books are in your home?
HomeHOME1,parent_survey_child,Keine,Keine,,,Ninguno,Ninguno,Ninguno,Aucun,Aucun,Geen,None
HomeHOME1,parent_survey_child,20 oder mehr,20 oder mehr,20 or more,20 or more,20 o más,20 o más,20 o más,20 ou plus,20 ou plus,20 of meer,20 or more
HomeHOME2,parent_survey_child,Wie oft ißt Ihr Kind eine Mahlzeit mit Familienmitgliedern?,Wie oft ißt Ihr Kind eine Mahlzeit mit Familienmitgliedern?,,,¿Con qué frecuencia come su niño(a) con los miembros de la familia?,¿Con qué frecuencia come su niño(a) con los miembros de la familia?,¿Con qué frecuencia come su niño(a) con los miembros de la familia?,À quelle fréquence votre enfant prend-il un repas avec les membres de la famille?,À quelle fréquence votre enfant prend-il un repas avec les membres de la famille?,Hoe vaak eet uw kind een maaltijd met gezinsleden?,How often does your child eat a meal with family members?
HomeHOME2,parent_survey_child,Mehr als einmal pro Tag,Mehr als einmal am Tag,,,Más de una vez al día,Más de una vez al día,Más de una vez al día,Plus d'une fois par jour,Plus d'une fois par jour,Meer dan één keer per dag,More than once a day
HomeHOME2,parent_survey_child,Einmal pro Tag,Einmal am Tag,,,Una vez al día,Una vez al día,Una vez al día,Une fois par jour,Une fois par jour,Één keer per dag,Once a day
HomeHOME2,parent_survey_child,Mehrmals pro Woche,Mehrmals pro Woche,,,Varias veces a la semana,Varias veces a la semana,Varias veces a la semana,Plusieurs fois par semaine,Plusieurs fois par semaine,Meerdere keren per week,Several times a week
HomeHOME2,parent_survey_child,Einmal pro Woche,Einmal pro Woche,,,Una vez a la semana,Una vez a la semana,Una vez a la semana,Une fois par semaine,Une fois par semaine,Één keer per week,Once a week
HomeHOME2,parent_survey_child,Einmal pro Monat oder weniger,Einmal pro Monat oder weniger,,,Una vez al mes o menos,Una vez al mes o menos,Una vez al mes o menos,Une fois par mois ou moins,Une fois par mois ou moins,Één keer per maand of minder,Once a month or less
HomeHOME2,parent_survey_child,Nie,Nie,Never,Never,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never
HomeHOME3,parent_survey_child,Wie viele Stunden pro Tag läuft der Fernseher bei Ihnen zu Hause?,Wie viele Stunden pro Tag läuft der Fernseher bei Ihnen zu Hause?,,,¿Cuántas horas al día está encendida la televisión en su casa?,¿Cuántas horas al día está encendida la televisión en su casa?,¿Cuántas horas al día está encendida la televisión en su casa?,Combien d'heures par jour la télévision est-elle allumée chez vous?,Combien d'heures par jour la télévision est-elle allumée chez vous?,Ongeveer hoeveel uur per dag staat de tv aan in uw huis?,About how many hours is the TV on in your house each day?
HomeHOME3,parent_survey_child,Stunden pro Tag,Stunden pro Tag,hours per day,hours per day,horas al día,horas al día,horas al día,heures par jour,heures par jour,uren per dag,hours per day
HomeHOME4,parent_survey_child,Hat Ihre Familie einen zuverlässigen Internetzugang?,Hat Ihre Familie einen zuverlässigen Internetzugang?,,,¿Ustedes en el hogar cuentan con un acceso estable y bueno a Internet?,¿Ustedes en el hogar cuentan con un acceso estable y bueno a Internet?,¿Ustedes en el hogar cuentan con un acceso estable y bueno a Internet?,Votre famille a-t-elle un accès fiable à Internet?,Votre famille a-t-elle un accès fiable à Internet?,Heeft uw gezin betrouwbare toegang tot het internet?,Does your family have reliable access to the internet?
HomeHOME4,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME4,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME5,parent_survey_child,Wie oft kommt Ihre ganze Familie mit Verwandten oder Freunden zusammen?,Wie oft kommt Ihre ganze Familie mit Verwandten oder Freunden zusammen?,,,¿Con qué frecuencia se reúne su familia con parientes o amigos?,¿Con qué frecuencia se reúne su familia con parientes o amigos?,¿Con qué frecuencia se reúne su familia con parientes o amigos?,À quelle fréquence toute votre famille se réunit-elle avec des proches ou des amis?,À quelle fréquence toute votre famille se réunit-elle avec des proches ou des amis?,Hoe vaak komt uw hele gezin samen met familie of vrienden?,How often does your whole family get together with relatives or friends?
HomeHOME5,parent_survey_child,Einmal in der Woche oder öfter,Einmal in der Woche oder öfter,,,Una vez a la semana o más,Una vez a la semana o más,Una vez a la semana o más,Une fois par semaine ou plus,Une fois par semaine ou plus,Één keer per week of meer,Once a week or more
HomeHOME5,parent_survey_child,Zwei- oder dreimal im Monat,Zwei- oder dreimal im Monat,,,Dos o tres veces al mes,Dos o tres veces al mes,Dos o tres veces al mes,Deux ou trois fois par mois,Deux ou trois fois par mois,Twee of drie keer per maand,Two or three times a month
HomeHOME5,parent_survey_child,Einmal im Monat,Einmal im Monat,,,Una vez al mes,Una vez al mes,Una vez al mes,Une fois par mois,Une fois par mois,Één keer per maand,Once a month
HomeHOME5,parent_survey_child,Einige Male im Jahr,Einige Male im Jahr,,,Varias veces al año,Varias veces al año,Varias veces al año,Quelques fois par an,Quelques fois par an,Een paar keer per jaar,A few times a year
HomeHOME5,parent_survey_child,Einmal im Jahr oder weniger,Einmal im Jahr oder weniger,Once a year or less,Once a year or less,Una vez al año o menos,Una vez al año o menos,Una vez al año o menos,Une fois par an ou moins,Une fois par an ou moins,Één keer per jaar of minder,Once a year or less
HomeHOME6,parent_survey_child,Wie oft verbringt Ihr Kind mit Ihnen oder einem anderen Erwachsenen zu Hause Zeit mit Aktivitäten im Freien?,Wie oft verbringt Ihr Kind mit Ihnen oder einem anderen Erwachsenen zu Hause Zeit mit Aktivitäten im Freien?,,,¿Con qué frecuencia pasa su niño(a) tiempo con usted u otro adulto de su casa haciendo actividades al aire libre?,¿Con qué frecuencia pasa su niño(a) tiempo con usted u otro adulto de su casa haciendo actividades al aire libre?,¿Con qué frecuencia pasa su niño(a) tiempo con usted u otro adulto de su casa haciendo actividades al aire libre?,À quelle fréquence votre enfant passe-t-il du temps avec vous ou un autre adulte chez vous à faire des activités en plein air?,À quelle fréquence votre enfant passe-t-il du temps avec vous ou un autre adulte chez vous à faire des activités en plein air?,Hoe vaak brengt uw kind tijd door met u of een andere volwassene in uw huis om buitenactiviteiten te doen?,How often does your child spend time with you or another adult in your home doing outdoor activities?
HomeHOME6,parent_survey_child,Einmal am Tag oder öfter,Einmal am Tag oder öfter,,,Una vez al día o más a menudo,Una vez al día o más a menudo,Una vez al día o más a menudo,Une fois par jour ou plus souvent,Une fois par jour ou plus souvent,Één keer per dag of vaker,Once a day or more often
HomeHOME6,parent_survey_child,Mindestens viermal in der Woche,Mindestens viermal in der Woche,,,Al menos cuatro veces a la semana,Al menos cuatro veces a la semana,Al menos cuatro veces a la semana,Au moins quatre fois par semaine,Au moins quatre fois par semaine,Minstens vier keer per week,At least four times a week
HomeHOME6,parent_survey_child,Einmal in der Woche,Einmal in der Woche,,,Una vez a la semana,Una vez a la semana,Una vez a la semana,Une fois par semaine,Une fois par semaine,Één keer per week,Once a week
HomeHOME6,parent_survey_child,Einmal im Monat,Einmal im Monat,,,Una vez al mes,Una vez al mes,Una vez al mes,Une fois par mois,Une fois par mois,Één keer per maand,Once a month
HomeHOME6,parent_survey_child,Einige Male im Jahr oder weniger,Einige Male im Jahr oder weniger,,,Varias veces al año o menos,Varias veces al año o menos,Varias veces al año o menos,Quelques fois par an ou moins,Quelques fois par an ou moins,Een paar keer per jaar of minder,A few times a year or less
HomeHOME6,parent_survey_child,Nie,Nie,Never,Never,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never
HomeHOME7,parent_survey_child,"Wie oft haben Sie oder ein anderer Erwachsener in Ihrem Haushalt die Gelegenheit, Ihrem Kind Geschichten vorzulesen?", Ihrem Kind Geschichten vorzulesen?", Ihrem Kind Geschichten vorzulesen?",,,¿Con qué frecuencia tiene usted u otro adulto de su hogar la oportunidad de leer cuentos a su niño(a)?,¿Con qué frecuencia tiene usted u otro adulto de su hogar la oportunidad de leer cuentos a su niño(a)?,¿Con qué frecuencia tiene usted u otro adulto de su hogar la oportunidad de leer cuentos a su niño(a)?,À quelle fréquence lisez-vous ou un autre adulte de votre foyer des histoires à votre enfant?,À quelle fréquence lisez-vous ou un autre adulte de votre foyer des histoires à votre enfant?,Hoe vaak krijgt u of iemand anders in uw huis de kans om uw kind verhalen voor te lezen?,How often do you or another adult in your home get a chance to read stories to your child?
HomeHOME7,parent_survey_child,Jeden Tag,Jeden Tag,,,Todos los días,Todos los días,Todos los días,Tous les jours,Tous les jours,Elke dag,Every day
HomeHOME7,parent_survey_child,Etwa 3 Mal pro Woche,Etwa 3 Mal pro Woche,,,Unas 3 veces a la semana,Unas 3 veces a la semana,Unas 3 veces a la semana,Environ 3 fois par semaine,Environ 3 fois par semaine,Ongeveer 3 keer per week,About 3 times a week
HomeHOME7,parent_survey_child,Einmal pro Woche,Einmal pro Woche,,,Una vez a la semana,Una vez a la semana,Una vez a la semana,Une fois par semaine,Une fois par semaine,Één keer per week,Once a week
HomeHOME7,parent_survey_child,Mehrmals im Monat,Mehrmals im Monat,,,Varias veces al mes,Varias veces al mes,Varias veces al mes,Plusieurs fois par mois,Plusieurs fois par mois,Meerdere keren per maand,Several times a month
HomeHOME7,parent_survey_child,Mehrmals im Jahr,Mehrmals im Jahr,,,Varias veces al año,Varias veces al año,Varias veces al año,Plusieurs fois par an,Plusieurs fois par an,Meerdere keren per jaar,Several times a year
HomeHOME7,parent_survey_child,Nie,Nie,Never,Never,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never
HomeHOME9,parent_survey_child,Wie oft gehen Sie oder ein anderer Erwachsener in Ihrem Haushalt mit Ihrem Kind zum Einkaufen?,Wie oft gehen Sie oder ein anderer Erwachsener in Ihrem Haushalt mit Ihrem Kind zum Einkaufen?,,,¿Con qué frecuencia usted u otro adulto de su hogar llevan a su niño(a) al supermercado?,¿Con qué frecuencia usted u otro adulto de su hogar llevan a su niño(a) al supermercado?,¿Con qué frecuencia usted u otro adulto de su hogar llevan a su niño(a) al supermercado?,À quelle fréquence vous ou un autre adulte de votre foyer emmenez-vous votre enfant à l'épicerie?,À quelle fréquence vous ou un autre adulte de votre foyer emmenez-vous votre enfant à l'épicerie?,Hoe vaak gaat u of een andere volwassene in uw huis met uw kind naar de supermarkt?,How often do you or another adult in your home take your child to the grocery store?
HomeHOME9,parent_survey_child,Zweimal in der Woche oder öfter,Zweimal in der Woche oder öfter,,,Dos veces a la semana o más,Dos veces a la semana o más,Dos veces a la semana o más,Deux fois par semaine ou plus,Deux fois par semaine ou plus,Tweemaal per week of vaker,Twice a week or more
HomeHOME9,parent_survey_child,Einmal in der Woche,Einmal in der Woche,,,Una vez a la semana,Una vez a la semana,Una vez a la semana,Une fois par semaine,Une fois par semaine,Één keer per week,Once a week
HomeHOME9,parent_survey_child,Einmal im Monat,Einmal im Monat,,,Una vez al mes,Una vez al mes,Una vez al mes,Une fois par mois,Une fois par mois,Één keer per maand,Once a month
HomeHOME9,parent_survey_child,Kaum jemals,Kaum jemals,Hardly ever,Hardly ever,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Hardly ever
HomeHOME15,parent_survey_child,"Hat Ihr Kind ein Tablet oder Smartphone, das es regelmäßig benutzt,"Hat Ihr Kind ein Tablet oder Smartphone,"Hat Ihr Kind ein Tablet oder Smartphone, das es regelmäßig benutzt, um Videos anzusehen oder Musik zu hören?",,,¿Su niño(a) utiliza habitualmente una tableta o un teléfono inteligente para ver videos o escuchar música?,¿Su niño(a) utiliza habitualmente una tableta o un teléfono inteligente para ver videos o escuchar música?,¿Su niño(a) utiliza habitualmente una tableta o un teléfono inteligente para ver videos o escuchar música?,Votre enfant a-t-il accès à une tablette ou un smartphone qu'il utilise régulièrement pour regarder des vidéos ou écouter de la musique?,Votre enfant a-t-il accès à une tablette ou un smartphone qu'il utilise régulièrement pour regarder des vidéos ou écouter de la musique?,Heeft uw kind toegang tot een tablet of smartphone die ze regelmatig gebruiken om video's te kijken of muziek te luisteren?,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?
HomeHOME15,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME15,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME23,parent_survey_child,"Verfügt Ihre Familie über einen Computer, zu dem Ihr Kind Zugang hat?", zu dem Ihr Kind Zugang hat?", zu dem Ihr Kind Zugang hat?",,,¿Tiene su familia una computadora a la que tenga acceso su niño(a)?,¿Tiene su familia una computadora a la que tenga acceso su niño(a)?,¿Tiene su familia una computadora a la que tenga acceso su niño(a)?,Votre famille dispose-t-elle d'un ordinateur auquel votre enfant a accès?,Votre famille dispose-t-elle d'un ordinateur auquel votre enfant a accès?,Heeft uw gezin een computer waar uw kind toegang tot heeft?,Does your family have a computer that your child has access to?
HomeHOME23,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME23,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME22,parent_survey_child,"Wie oft hat ein Familienmitglied Ihr Kind im vergangenen Jahr in ein beliebiges Museum (Kindermuseum, wissenschaftliches Museum, historisches Museum usw.) mitgenommen oder einen solchen Besuch organisiert?", historisches Museum usw.) mitgenommen oder einen solchen Besuch organisiert?","Wie oft hat ein Familienmitglied Ihr Kind im vergangenen Jahr in ein beliebiges Museum (Kindermuseum, wissenschaftliches Museum, Kunstmuseum, historisches Museum usw.) mitgenommen oder einen solchen Besuch organisiert?",,,"¿Con qué frecuencia ha llevado algún miembro de la familia a su niño(a) a algún tipo de museo (infantil, científico, de arte, histórico, etc.) en el último año?","¿Con qué frecuencia ha llevado algún miembro de la familia a su niño(a) a algún tipo de museo (infantil, científico, de arte, histórico, etc.) en el último año?","¿Con qué frecuencia ha llevado algún miembro de la familia a su niño(a) a algún tipo de museo (infantil, científico, de arte, histórico, etc.) en el último año?","À quelle fréquence un membre de la famille a-t-il emmené ou prévu d'emmener votre enfant dans un type de musée (pour enfants, scientifique, d'art, historique, etc.) au cours de l'année écoulée ?","À quelle fréquence un membre de la famille a-t-il emmené ou prévu d'emmener votre enfant dans un type de musée (pour enfants, scientifique, d'art, historique, etc.) au cours de l'année écoulée ?","Hoe vaak heeft een familielid uw kind meegenomen of georganiseerd om uw kind naar een soort museum te brengen (kinder-, wetenschappelijk, kunst-, historisch, etc.) in het afgelopen jaar?","How often has any family member taken or arranged to take your child to any type of museum (children's, scientific, art, historical, etc.) in the past year?"
HomeHOME22,parent_survey_child,Etwa einmal in der Woche oder öfter,Etwa einmal in der Woche oder öfter,,,Una vez a la semana o más,Una vez a la semana o más,Una vez a la semana o más,Environ une fois par semaine ou plus,Environ une fois par semaine ou plus,Ongeveer één keer per week of vaker,About once a week or more
HomeHOME22,parent_survey_child,Etwa einmal im Monat oder öfter,Etwa einmal im Monat oder öfter,,,Una vez al mes o más,Una vez al mes o más,Una vez al mes o más,Environ une fois par mois ou plus,Environ une fois par mois ou plus,Ongeveer één keer per maand of vaker,About once a month or more
HomeHOME22,parent_survey_child,Mehrere Male,Mehrere Male,,,Varias veces,Varias veces,Varias veces,Plusieurs fois,Plusieurs fois,Meerdere keren,Several times
HomeHOME22,parent_survey_child,Ein oder zweimal,Ein oder zweimal,,,Una o dos veces,Una o dos veces,Una o dos veces,Une ou deux fois,Une ou deux fois,Een of twee keer,Once or twice
HomeHOME22,parent_survey_child,Nie,Nie,Never,Never,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never
HomeHOME24,parent_survey_child,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...", would you...", would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","A veces los niños(as) se enfadan tanto con sus padres que dicen cosas como te odio o dicen palabrotas en medio de un rabieta. Si su niño(a) le dijera te odio o le ofendiera, usted...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Parfois, les enfants se mettent tellement en colère contre leurs parents qu'ils disent des choses comme Je te déteste ou profèrent des jurons lors d'une crise de colère. Si votre enfant disait quelque chose comme Je te déteste ou vous insultait, vous...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you...","Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you..."
HomeHOME24a,parent_survey_child,Hausarrest erteilen,Hausarrest erteilen,,,Castigarle,Castigarle,Castigarle,Le punir(e),Le punir(e),Huisarrest geven,Ground him/her
HomeHOME24a,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24a,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24b,parent_survey_child,Sie verhauen es,Sie verhauen es,,,Pelarle,Pelarle,Pelarle,Le fesser,Le fesser,Een pak slaag geven,Spank him/her
HomeHOME24b,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24b,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24c,parent_survey_child,Sie sprechen mit ihm/ihr,Sie sprechen mit ihm/ihr,,,Hablarle,Hablarle,Hablarle,Discuter avec lui/elle,Discuter avec lui/elle,Met hem/haar praten,Talk with him/her
HomeHOME24c,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24c,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24d,parent_survey_child,Sie erteilen ihm/ihr eine Hausarbeit,Sie erteilen ihm/ihr eine Hausarbeit,,,Asignarle una tarea doméstica,Asignarle una tarea doméstica,Asignarle una tarea doméstica,Lui donner une corvée domestique,Lui donner une corvée domestique,Geef hem/haar een huishoudelijke taak,Give him/her a household chore
HomeHOME24d,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24d,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24e,parent_survey_child,Sie ignorieren es,Sie ignorieren es,,,Ignorar lo sucedido,Ignorar lo sucedido,Ignorar lo sucedido,L'ignorer,L'ignorer,Negeer het,Ignore it
HomeHOME24e,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24e,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24f,parent_survey_child,Sie schicken es für mehr als 1 Stunde in sein/ihr Zimmer,Sie schicken es für mehr als 1 Stunde in sein/ihr Zimmer,,,Mandarle a su habitación por más de 1 hora,Mandarle a su habitación por más de 1 hora,Mandarle a su habitación por más de 1 hora,L'envoyer dans sa chambre pour plus d'une heure,L'envoyer dans sa chambre pour plus d'une heure,Stuur hem/haar naar de kamer voor meer dan een uur,Send him/her to room for more than 1 hour
HomeHOME24f,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24f,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24g,parent_survey_child,Sie entziehen ihm/ihr das Taschengeld,Sie entziehen ihm/ihr das Taschengeld,,,Quitarle la mesada,Quitarle la mesada,Quitarle la mesada,Lui retirer son allocation,Lui retirer son allocation,Onthoud hem/haar zakgeld,Take away his/her allowance
HomeHOME24g,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24g,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24h,parent_survey_child,"Sie entziehen ihm/ihr das Fernsehen, Telefon oder sonstige Privilegien", Telefon oder sonstige Privilegien", Telefon oder sonstige Privilegien",,,"Quitarle la televisión, el teléfono u otros privilegios","Quitarle la televisión, el teléfono u otros privilegios","Quitarle la televisión, el teléfono u otros privilegios","Lui retirer la télévision, le téléphone ou d'autres privilèges","Lui retirer la télévision, le téléphone ou d'autres privilèges","Neem televisie, telefoon of andere privileges weg","Take away TV, phone, or other privileges"
HomeHOME24h,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24h,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24i,parent_survey_child,Sie verordnen ihm/ihr eine kurze Auszeit,Sie verordnen ihm/ihr eine kurze Auszeit,,,Ponerle en tiempo de espera,Ponerle en tiempo de espera,Ponerle en tiempo de espera,Le mettre en pause pour un court instant,Le mettre en pause pour un court instant,Geef hem/haar een korte time-out,Put him/her in a short time out
HomeHOME24i,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
HomeHOME24i,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
HomeHOME24j,parent_survey_child,"Sonstiges, bitte angeben", bitte angeben", bitte angeben","Other, please specify","Other, please specify","Otra acción, especifique cuál","Otra acción, especifique cuál","Otra acción, especifique cuál","Autre, veuillez préciser","Autre, veuillez préciser","Anders, graag specificeren","Other, please specify"
HomeHOME25,parent_survey_child,"Wie oft wird von Ihrem Kind erwartet, dass es sein Bett selbst macht?", dass es sein Bett selbst macht?", dass es sein Bett selbst macht?",,,¿Con qué frecuencia se espera que su niño(a) arregle su cama?,¿Con qué frecuencia se espera que su niño(a) arregle su cama?,¿Con qué frecuencia se espera que su niño(a) arregle su cama?,À quelle fréquence est-il attendu de votre enfant qu’il fasse son propre lit ?,À quelle fréquence est-il attendu de votre enfant qu’il fasse son propre lit ?,Hoe vaak wordt van uw kind verwacht dat hij/zij zijn/haar eigen bed opmaakt?,How often is your child expected to make his/her own bed?
HomeHOME25,parent_survey_child,Fast immer,Fast immer,,,Casi siempre,Casi siempre,Casi siempre,Presque toujours,Presque toujours,Bijna altijd,Almost always
HomeHOME25,parent_survey_child,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,,,Más de la mitad del tiempo,Más de la mitad del tiempo,Más de la mitad del tiempo,Plus de la moitié du temps,Plus de la moitié du temps,Meer dan de helft van de tijd,More than half the time
HomeHOME25,parent_survey_child,Die Hälfte der Zeit,Die Hälfte der Zeit,,,La mitad del tiempo,La mitad del tiempo,La mitad del tiempo,La moitié du temps,La moitié du temps,De helft van de tijd,Half the time
HomeHOME25,parent_survey_child,Weniger als die Hälfte der Zeit,Weniger als die Hälfte der Zeit,,,Menos de la mitad del tiempo,Menos de la mitad del tiempo,Menos de la mitad del tiempo,Moins de la moitié du temps,Moins de la moitié du temps,Minder dan de helft van de tijd,Less than half the time
HomeHOME25,parent_survey_child,Fast nie,Fast nie,Almost never,Almost never,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never
HomeHOME26,parent_survey_child,"Wie oft wird von Ihrem Kind erwartet, dass es sein eigenes Zimmer aufräumt?", dass es sein eigenes Zimmer aufräumt?", dass es sein eigenes Zimmer aufräumt?",,,¿Con qué frecuencia debe limpiar su habitación?,¿Con qué frecuencia debe limpiar su habitación?,¿Con qué frecuencia debe limpiar su habitación?,À quelle fréquence est-il attendu de votre enfant qu’il nettoie sa propre chambre ?,À quelle fréquence est-il attendu de votre enfant qu’il nettoie sa propre chambre ?,Hoe vaak wordt van uw kind verwacht dat hij/zij zijn/haar eigen kamer opruimt?,How often is your child expected to clean his/her own room?
HomeHOME26,parent_survey_child,Fast immer,Fast immer,,,Casi siempre,Casi siempre,Casi siempre,Presque toujours,Presque toujours,Bijna altijd,Almost always
HomeHOME26,parent_survey_child,Mehr als die Hälfte der Zeit,Mehr als die Hälfte der Zeit,,,Más de la mitad del tiempo,Más de la mitad del tiempo,Más de la mitad del tiempo,Plus de la moitié du temps,Plus de la moitié du temps,Meer dan de helft van de tijd,More than half the time
