identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
ChildEFQ9,parent_survey_child,"<b>Regains focus/focuses again on an assigned task when interrupted</b> (e.g., family member asks an unrelated question or needs brief assistance).","<b>Regains focus/focuses again on an assigned task when interrupted</b> (e.g., family member asks an unrelated question or needs brief assistance).","<b>Fokussiert sich wieder auf eine zugewiesene Aufgabe, wenn es unterbrochen wird</b> (z. B. wenn ein Familienmitglied eine Frage stellt, die nichts mit der Aufgabe zu tun hat oder kurz Hilfe braucht).","<b>Fokussiert sich wieder auf eine zugewiesene Aufgabe, wenn es unterbrochen wird</b> (z. B. wenn ein Familienmitglied eine Frage stellt, die nichts mit der Aufgabe zu tun hat oder kurz Hilfe braucht).","<b>Recupera la concentración o vuelve a centrarse en una tarea asignada cuando se le interrumpe</b> (p. ej., un miembro de la familia hace una pregunta no relacionada o solicita ayuda).","<b>Recupera la concentración o vuelve a centrarse en una tarea asignada cuando se le interrumpe</b> (p. ej., un miembro de la familia hace una pregunta no relacionada o solicita ayuda).","<b>Recupera la concentración o vuelve a centrarse en una tarea asignada cuando se le interrumpe</b> (p. ej., un miembro de la familia hace una pregunta no relacionada o solicita ayuda).","<b>Reprend sa concentration/s'y réfère à nouveau en cas d'interruption</b> (par exemple, un membre de la famille pose une question sans rapport ou a besoin d'une assistance brève).","<b>Reprend sa concentration/s'y réfère à nouveau en cas d'interruption</b> (par exemple, un membre de la famille pose une question sans rapport ou a besoin d'une assistance brève).","<b>Hervindt de focus/richt zich opnieuw op een toegewezen taak wanneer deze wordt onderbroken</b> (bijv., gezinslid stelt een niet-gerelateerde vraag of heeft een korte assistentie nodig).","<b>Regains focus/focuses again on an assigned task when interrupted</b> (e.g., family member asks an unrelated question or needs brief assistance).","<b>Recupera la concentración o vuelve a centrarse en una tarea asignada cuando se le interrumpe</b> (p. ej., un miembro de la familia hace una pregunta no relacionada o solicita ayuda).","<b>Reprend sa concentration/s'y réfère à nouveau en cas d'interruption</b> (par exemple, un membre de la famille pose une question sans rapport ou a besoin d'une assistance brève).","<b>Fokussiert sich wieder auf eine zugewiesene Aufgabe, wenn es unterbrochen wird</b> (z. B. wenn ein Familienmitglied eine Frage stellt, die nichts mit der Aufgabe zu tun hat oder kurz Hilfe braucht).","<b>Recupera la concentración o vuelve a centrarse en una tarea asignada cuando se le interrumpe</b> (p. ej., un miembro de la familia hace una pregunta no relacionada o solicita ayuda).","<b>Regains focus/focuses again on an assigned task when interrupted</b> (e.g., family member asks an unrelated question or needs brief assistance)."
ChildEFQ14,parent_survey_child,"<b>Stops playing or doing something fun when asked</b> (e.g., stops playing with friends when parent asks, stops watching TV when parent asks).","<b>Stops playing or doing something fun when asked</b> (e.g., stops playing with friends when parent asks, stops watching TV when parent asks).","<b>Hört auf zu spielen oder etwas zu tun, was ihm Spaß macht, wenn es darum gebeten wird</b> (hört z. B. auf, mit Freunden zu spielen, wenn die Eltern es verlangen, hört auf, fernzusehen, wenn die Eltern es verlangen).","<b>Hört auf zu spielen oder etwas zu tun, was ihm Spaß macht, wenn es darum gebeten wird</b> (hört z. B. auf, mit Freunden zu spielen, wenn die Eltern es verlangen, hört auf, fernzusehen, wenn die Eltern es verlangen).","<b>Deja de jugar o de hacer algo divertido cuando se lo piden</b> (p. ej., deja de jugar con sus amigos o deja de ver la televisión cuando se lo piden sus padres).","<b>Deja de jugar o de hacer algo divertido cuando se lo piden</b> (p. ej., deja de jugar con sus amigos o deja de ver la televisión cuando se lo piden sus padres).","<b>Deja de jugar o de hacer algo divertido cuando se lo piden</b> (p. ej., deja de jugar con sus amigos o deja de ver la televisión cuando se lo piden sus padres).","<b>Arrête de jouer ou de faire quelque chose d'amusant sur demande</b> (par exemple, arrête de jouer avec des amis lorsque le parent le demande, arrête de regarder la télévision lorsque le parent le demande).","<b>Arrête de jouer ou de faire quelque chose d'amusant sur demande</b> (par exemple, arrête de jouer avec des amis lorsque le parent le demande, arrête de regarder la télévision lorsque le parent le demande).","<b>Stopt met spelen of iets leuks doen wanneer daarom gevraagd</b> (bijv., stopt met spelen met vrienden wanneer ouders dit vragen, stopt met tv-kijken wanneer ouders dit vragen).","<b>Stops playing or doing something fun when asked</b> (e.g., stops playing with friends when parent asks, stops watching TV when parent asks).","<b>Deja de jugar o de hacer algo divertido cuando se lo piden</b> (p. ej., deja de jugar con sus amigos o deja de ver la televisión cuando se lo piden sus padres).","<b>Arrête de jouer ou de faire quelque chose d'amusant sur demande</b> (par exemple, arrête de jouer avec des amis lorsque le parent le demande, arrête de regarder la télévision lorsque le parent le demande).","<b>Hört auf zu spielen oder etwas zu tun, was ihm Spaß macht, wenn es darum gebeten wird</b> (hört z. B. auf, mit Freunden zu spielen, wenn die Eltern es verlangen, hört auf, fernzusehen, wenn die Eltern es verlangen).","<b>Deja de jugar o de hacer algo divertido cuando se lo piden</b> (p. ej., deja de jugar con sus amigos o deja de ver la televisión cuando se lo piden sus padres).","<b>Stops playing or doing something fun when asked</b> (e.g., stops playing with friends when parent asks, stops watching TV when parent asks)."
ChildEFQ19,parent_survey_child,"<b>Communicates in an organized way</b> (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand).","<b>Communicates in an organized way</b> (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand).","<b>Kommuniziert auf organisierte Weise</b> (es erzählt z. B. die richtige Reihenfolge der Ereignisse, erklärt, wie ein Spiel funktioniert, so dass es leicht zu verstehen ist).","<b>Kommuniziert auf organisierte Weise</b> (es erzählt z. B. die richtige Reihenfolge der Ereignisse, erklärt, wie ein Spiel funktioniert, so dass es leicht zu verstehen ist).","<b>Se comunica de forma organizada</b> (p. ej., vuelve a contar la secuencia correcta de los acontecimientos, explica cómo funciona un juego para que sea fácil de entender).","<b>Se comunica de forma organizada</b> (p. ej., vuelve a contar la secuencia correcta de los acontecimientos, explica cómo funciona un juego para que sea fácil de entender).","<b>Se comunica de forma organizada</b> (p. ej., vuelve a contar la secuencia correcta de los acontecimientos, explica cómo funciona un juego para que sea fácil de entender).","<b>Communique de manière organisée</b> (par exemple, raconte à nouveau la séquence correcte des événements, explique comment fonctionne un jeu pour le rendre facile à comprendre).","<b>Communique de manière organisée</b> (par exemple, raconte à nouveau la séquence correcte des événements, explique comment fonctionne un jeu pour le rendre facile à comprendre).","<b>Communiceert op een georganiseerde manier</b> (bijv., vertelt de correcte volgorde van de gebeurtenissen opnieuw, legt uit hoe een spel werkt zodat het gemakkelijk te begrijpen is).","<b>Communicates in an organized way</b> (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand).","<b>Se comunica de forma organizada</b> (p. ej., vuelve a contar la secuencia correcta de los acontecimientos, explica cómo funciona un juego para que sea fácil de entender).","<b>Communique de manière organisée</b> (par exemple, raconte à nouveau la séquence correcte des événements, explique comment fonctionne un jeu pour le rendre facile à comprendre).","<b>Kommuniziert auf organisierte Weise</b> (es erzählt z. B. die richtige Reihenfolge der Ereignisse, erklärt, wie ein Spiel funktioniert, so dass es leicht zu verstehen ist).","<b>Se comunica de forma organizada</b> (p. ej., vuelve a contar la secuencia correcta de los acontecimientos, explica cómo funciona un juego para que sea fácil de entender).","<b>Communicates in an organized way</b> (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand)."
ChildEFQ25,parent_survey_child,"<b>Adjusts when plans/schedules change</b> (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation).","<b>Adjusts when plans/schedules change</b> (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation).","<b>Passt sich an, wenn sich Pläne/Zeitpläne ändern</b> (Es passt sich an, wenn sich z. B. der Tagesablauf ändert, beklagt sich nicht, wenn eine unerwartete Krankheit dazu führt, dass ein Familienurlaub abgesagt werden muss).","<b>Passt sich an, wenn sich Pläne/Zeitpläne ändern</b> (Es passt sich an, wenn sich z. B. der Tagesablauf ändert, beklagt sich nicht, wenn eine unerwartete Krankheit dazu führt, dass ein Familienurlaub abgesagt werden muss).","<b>Se adapta cuando cambian los planes u horarios</b> (p. ej., se adapta cuando cambian los horarios, no se queja cuando una enfermedad inesperada obliga a cancelar las vacaciones familiares).","<b>Se adapta cuando cambian los planes u horarios</b> (p. ej., se adapta cuando cambian los horarios, no se queja cuando una enfermedad inesperada obliga a cancelar las vacaciones familiares).","<b>Se adapta cuando cambian los planes u horarios</b> (p. ej., se adapta cuando cambian los horarios, no se queja cuando una enfermedad inesperada obliga a cancelar las vacaciones familiares).","<b>S'adapte lorsque les plans/horaires changent</b> (par exemple, suit le changement d'horaire quotidien, ne se plaint pas lorsqu'une maladie imprévue entraîne l'annulation de vacances en famille).","<b>S'adapte lorsque les plans/horaires changent</b> (par exemple, suit le changement d'horaire quotidien, ne se plaint pas lorsqu'une maladie imprévue entraîne l'annulation de vacances en famille).","<b>Past zich aan wanneer plannen/roosters veranderen</b> (bijv., volgt mee wanneer het dagelijkse schema verandert, klaagt niet wanneer onverwachte ziekte leidt tot het annuleren van een gezinsvakantie).","<b>Adjusts when plans/schedules change</b> (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation).","<b>Se adapta cuando cambian los planes u horarios</b> (p. ej., se adapta cuando cambian los horarios, no se queja cuando una enfermedad inesperada obliga a cancelar las vacaciones familiares).","<b>S'adapte lorsque les plans/horaires changent</b> (par exemple, suit le changement d'horaire quotidien, ne se plaint pas lorsqu'une maladie imprévue entraîne l'annulation de vacances en famille).","<b>Passt sich an, wenn sich Pläne/Zeitpläne ändern</b> (Es passt sich an, wenn sich z. B. der Tagesablauf ändert, beklagt sich nicht, wenn eine unerwartete Krankheit dazu führt, dass ein Familienurlaub abgesagt werden muss).","<b>Se adapta cuando cambian los planes u horarios</b> (p. ej., se adapta cuando cambian los horarios, no se queja cuando una enfermedad inesperada obliga a cancelar las vacaciones familiares).","<b>Adjusts when plans/schedules change</b> (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation)."
ChildEFQ31,parent_survey_child,"<b>Finishes tasks on time</b> (e.g., finishes homework on time and not at the last minute).","<b>Finishes tasks on time</b> (e.g., finishes homework on time and not at the last minute).",<b>Erledigt Aufgaben pünktlich</b> (z. B. Hausaufgaben rechtzeitig und nicht in letzter Minute).,<b>Erledigt Aufgaben pünktlich</b> (z. B. Hausaufgaben rechtzeitig und nicht in letzter Minute).,"<b>Termina las tareas a tiempo</b> (p. ej., termina los deberes a tiempo y no en el último minuto).","<b>Termina las tareas a tiempo</b> (p. ej., termina los deberes a tiempo y no en el último minuto).","<b>Termina las tareas a tiempo</b> (p. ej., termina los deberes a tiempo y no en el último minuto).","<b>Termine les tâches à temps</b> (par exemple, termine les devoirs à l'heure et non à la dernière minute).","<b>Termine les tâches à temps</b> (par exemple, termine les devoirs à l'heure et non à la dernière minute).","<b>Voltooit taken op tijd</b> (bijv., voltooit huiswerk op tijd en niet op het laatste moment).","<b>Finishes tasks on time</b> (e.g., finishes homework on time and not at the last minute).","<b>Termina las tareas a tiempo</b> (p. ej., termina los deberes a tiempo y no en el último minuto).","<b>Termine les tâches à temps</b> (par exemple, termine les devoirs à l'heure et non à la dernière minute).",<b>Erledigt Aufgaben pünktlich</b> (z. B. Hausaufgaben rechtzeitig und nicht in letzter Minute).,"<b>Termina las tareas a tiempo</b> (p. ej., termina los deberes a tiempo y no en el último minuto).","<b>Finishes tasks on time</b> (e.g., finishes homework on time and not at the last minute)."
ChildEFQ4,parent_survey_child,"<b>Remains focused and engaged during collaborative child-led activities</b> (e.g., playing with siblings/peers).","<b>Remains focused and engaged during collaborative child-led activities</b> (e.g., playing with siblings/peers).","<b>Bleibt konzentriert und engagiert bei gemeinsamen Aktivitäten, die das Kind selbst anleitet</b> (z. B. beim Spielen mit Geschwistern oder anderen Kindern gleichen Alters).","<b>Bleibt konzentriert und engagiert bei gemeinsamen Aktivitäten, die das Kind selbst anleitet</b> (z. B. beim Spielen mit Geschwistern oder anderen Kindern gleichen Alters).","<b>Se mantiene concentrado e involucrado durante las actividades de colaboración dirigidas por niños</b> (p. ej., jugando con sus hermanos o compañeros).","<b>Se mantiene concentrado e involucrado durante las actividades de colaboración dirigidas por niños</b> (p. ej., jugando con sus hermanos o compañeros).","<b>Se mantiene concentrado e involucrado durante las actividades de colaboración dirigidas por niños</b> (p. ej., jugando con sus hermanos o compañeros).","<b>Reste concentré et engagé pendant les activités collaboratives dirigées par des enfants</b> (par exemple, jouer avec des frères/sœurs ou des pairs).","<b>Reste concentré et engagé pendant les activités collaboratives dirigées par des enfants</b> (par exemple, jouer avec des frères/sœurs ou des pairs).","<b>Blijft gefocust en betrokken tijdens collaboratieve kind-leide activiteiten</b> (bijv., spelen met broers/zussen / leeftijdsgenoten).","<b>Remains focused and engaged during collaborative child-led activities</b> (e.g., playing with siblings/peers).","<b>Se mantiene concentrado e involucrado durante las actividades de colaboración dirigidas por niños</b> (p. ej., jugando con sus hermanos o compañeros).","<b>Reste concentré et engagé pendant les activités collaboratives dirigées par des enfants</b> (par exemple, jouer avec des frères/sœurs ou des pairs).","<b>Bleibt konzentriert und engagiert bei gemeinsamen Aktivitäten, die das Kind selbst anleitet</b> (z. B. beim Spielen mit Geschwistern oder anderen Kindern gleichen Alters).","<b>Se mantiene concentrado e involucrado durante las actividades de colaboración dirigidas por niños</b> (p. ej., jugando con sus hermanos o compañeros).","<b>Remains focused and engaged during collaborative child-led activities</b> (e.g., playing with siblings/peers)."
ChildEFQ10,parent_survey_child,"<b>Ignores a preferred, fun activity</b> (e.g., playing) <b>when asked to complete an assigned task</b> (e.g., cleaning room).","<b>Ignores a preferred, fun activity</b> (e.g., playing) <b>when asked to complete an assigned task</b> (e.g., cleaning room).","<b>Ignoriert eine bevorzugte, lustige Aktivität</b> (z. B. Spielen), <b>wenn es aufgefordert wird, eine zugewiesene Aufgabe zu erledigen</b> (z. B. Zimmer aufräumen).","<b>Ignoriert eine bevorzugte, lustige Aktivität</b> (z. B. Spielen), <b>wenn es aufgefordert wird, eine zugewiesene Aufgabe zu erledigen</b> (z. B. Zimmer aufräumen).","<b>Ignora una actividad preferida y divertida</b> (p. ej., jugar) <b>cuando se le pide que complete una tarea asignada</b> (p. ej., limpiar la habitación).","<b>Ignora una actividad preferida y divertida</b> (p. ej., jugar) <b>cuando se le pide que complete una tarea asignada</b> (p. ej., limpiar la habitación).","<b>Ignora una actividad preferida y divertida</b> (p. ej., jugar) <b>cuando se le pide que complete una tarea asignada</b> (p. ej., limpiar la habitación).","<b>Ignore une activité préférée et amusante</b> (par exemple, jouer) <b>lorsqu'il est demandé de compléter une tâche assignée</b> (par exemple, nettoyer la chambre).","<b>Ignore une activité préférée et amusante</b> (par exemple, jouer) <b>lorsqu'il est demandé de compléter une tâche assignée</b> (par exemple, nettoyer la chambre).","<b>Negeert een favoriete, leuke activiteit</b> (bijv., spelen) <b>wanneer gevraagd om een toegewezen taak te voltooien</b> (bijv., kamer opruimen).","<b>Ignores a preferred, fun activity</b> (e.g., playing) <b>when asked to complete an assigned task</b> (e.g., cleaning room).","<b>Ignora una actividad preferida y divertida</b> (p. ej., jugar) <b>cuando se le pide que complete una tarea asignada</b> (p. ej., limpiar la habitación).","<b>Ignore une activité préférée et amusante</b> (par exemple, jouer) <b>lorsqu'il est demandé de compléter une tâche assignée</b> (par exemple, nettoyer la chambre).","<b>Ignoriert eine bevorzugte, lustige Aktivität</b> (z. B. Spielen), <b>wenn es aufgefordert wird, eine zugewiesene Aufgabe zu erledigen</b> (z. B. Zimmer aufräumen).","<b>Ignora una actividad preferida y divertida</b> (p. ej., jugar) <b>cuando se le pide que complete una tarea asignada</b> (p. ej., limpiar la habitación).","<b>Ignores a preferred, fun activity</b> (e.g., playing) <b>when asked to complete an assigned task</b> (e.g., cleaning room)."
ChildEFQ15,parent_survey_child,"<b>Waits for their turn to act</b> (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling).","<b>Waits for their turn to act</b> (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling).","<b>Wartet, bis es an der Reihe ist</b> (es wartet z. B. geduldig in der Schlange im Supermarkt oder wenn es ein Spielzeug mit einem Geschwisterkind teilt).","<b>Wartet, bis es an der Reihe ist</b> (es wartet z. B. geduldig in der Schlange im Supermarkt oder wenn es ein Spielzeug mit einem Geschwisterkind teilt).","<b>Espera su turno para actuar</b> (p. ej., espera pacientemente en la fila del supermercado o cuando comparte un juguete con su hermano).","<b>Espera su turno para actuar</b> (p. ej., espera pacientemente en la fila del supermercado o cuando comparte un juguete con su hermano).","<b>Espera su turno para actuar</b> (p. ej., espera pacientemente en la fila del supermercado o cuando comparte un juguete con su hermano).","<b>Attend son tour pour agir</b> (par exemple, attend patiemment dans la file d'attente au magasin ou lorsqu'il partage un jouet avec un frère ou une sœur).","<b>Attend son tour pour agir</b> (par exemple, attend patiemment dans la file d'attente au magasin ou lorsqu'il partage un jouet avec un frère ou une sœur).","<b>Wacht op zijn beurt om te handelen</b> (bijv., wacht geduldig in de rij bij een supermarkt of wanneer een speelgoedgezamen wordt gedeeld met broer of zus).","<b>Waits for their turn to act</b> (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling).","<b>Espera su turno para actuar</b> (p. ej., espera pacientemente en la fila del supermercado o cuando comparte un juguete con su hermano).","<b>Attend son tour pour agir</b> (par exemple, attend patiemment dans la file d'attente au magasin ou lorsqu'il partage un jouet avec un frère ou une sœur).","<b>Wartet, bis es an der Reihe ist</b> (es wartet z. B. geduldig in der Schlange im Supermarkt oder wenn es ein Spielzeug mit einem Geschwisterkind teilt).","<b>Espera su turno para actuar</b> (p. ej., espera pacientemente en la fila del supermercado o cuando comparte un juguete con su hermano).","<b>Waits for their turn to act</b> (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling)."
ChildEFQ20,parent_survey_child,"<b>Completes age-appropriate numerical mental calculation</b> (e.g., adds prices of goods, calculates time, how much they are older than someone else).","<b>Completes age-appropriate numerical mental calculation</b> (e.g., adds prices of goods, calculates time, how much they are older than someone else).","<b>Führt altersgemäße numerische Berechnungen im Kopf durch</b> (z. B. addiert es Preise von Waren, berechnet die Zeit, wie viel älter es ist als jemand anderes).","<b>Führt altersgemäße numerische Berechnungen im Kopf durch</b> (z. B. addiert es Preise von Waren, berechnet die Zeit, wie viel älter es ist als jemand anderes).","<b>Realiza cálculos mentales numéricos apropiados para su edad</b> (p. ej., suma precios de productos, calcula el tiempo, la diferencia de edad que hay entre él/ella y otra persona).","<b>Realiza cálculos mentales numéricos apropiados para su edad</b> (p. ej., suma precios de productos, calcula el tiempo, la diferencia de edad que hay entre él/ella y otra persona).","<b>Realiza cálculos mentales numéricos apropiados para su edad</b> (p. ej., suma precios de productos, calcula el tiempo, la diferencia de edad que hay entre él/ella y otra persona).","<b>Réalise des calculs mentaux numériques appropriés à son âge</b> (par exemple, additionne les prix des biens, calcule le temps, combien il est plus âgé que quelqu'un d'autre).","<b>Réalise des calculs mentaux numériques appropriés à son âge</b> (par exemple, additionne les prix des biens, calcule le temps, combien il est plus âgé que quelqu'un d'autre).","<b>Voltooit leeftijdsadequate numerieke mentale berekeningen</b> (bijv., voegt prijzen van goederen toe, berekent tijd, hoe veel ouder ze zijn dan iemand anders).","<b>Completes age-appropriate numerical mental calculation</b> (e.g., adds prices of goods, calculates time, how much they are older than someone else).","<b>Realiza cálculos mentales numéricos apropiados para su edad</b> (p. ej., suma precios de productos, calcula el tiempo, la diferencia de edad que hay entre él/ella y otra persona).","<b>Réalise des calculs mentaux numériques appropriés à son âge</b> (par exemple, additionne les prix des biens, calcule le temps, combien il est plus âgé que quelqu'un d'autre).","<b>Führt altersgemäße numerische Berechnungen im Kopf durch</b> (z. B. addiert es Preise von Waren, berechnet die Zeit, wie viel älter es ist als jemand anderes).","<b>Realiza cálculos mentales numéricos apropiados para su edad</b> (p. ej., suma precios de productos, calcula el tiempo, la diferencia de edad que hay entre él/ella y otra persona).","<b>Completes age-appropriate numerical mental calculation</b> (e.g., adds prices of goods, calculates time, how much they are older than someone else)."
ChildEFQ26,parent_survey_child,"<b>Understands conflicting perspectives/ideas</b> (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective).","<b>Understands conflicting perspectives/ideas</b> (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective).","<b>Versteht widersprüchliche Perspektiven/Ideen</b> (es akzeptiert z. B. einen anderen Standpunkt, akzeptiert andere Vorgehensweisen, kann eine Situation aus dem Blickwinkel eines anderen sehen).","<b>Versteht widersprüchliche Perspektiven/Ideen</b> (es akzeptiert z. B. einen anderen Standpunkt, akzeptiert andere Vorgehensweisen, kann eine Situation aus dem Blickwinkel eines anderen sehen).","<b>Entiende las posiciones o ideas contradictorias</b> (p. ej., reconoce un punto de vista diferente, acepta distintas formas de hacer las cosas, puede ver una situación desde la perspectiva de otra persona).","<b>Entiende las posiciones o ideas contradictorias</b> (p. ej., reconoce un punto de vista diferente, acepta distintas formas de hacer las cosas, puede ver una situación desde la perspectiva de otra persona).","<b>Entiende las posiciones o ideas contradictorias</b> (p. ej., reconoce un punto de vista diferente, acepta distintas formas de hacer las cosas, puede ver una situación desde la perspectiva de otra persona).","<b>Comprend les perspectives/idées contradictoires</b> (par exemple, reconnaît un point de vue différent, accepte différentes façons de faire les choses, peut voir une situation du point de vue de quelqu'un d'autre).","<b>Comprend les perspectives/idées contradictoires</b> (par exemple, reconnaît un point de vue différent, accepte différentes façons de faire les choses, peut voir une situation du point de vue de quelqu'un d'autre).","<b>Begrijpt conflicterende perspectieven/ideeën</b> (bijv., erkent een ander standpunt, accepteert verschillende manieren van dingen doen, kan een situatie vanuit iemand anders’ perspectief zien).","<b>Understands conflicting perspectives/ideas</b> (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective).","<b>Entiende las posiciones o ideas contradictorias</b> (p. ej., reconoce un punto de vista diferente, acepta distintas formas de hacer las cosas, puede ver una situación desde la perspectiva de otra persona).","<b>Comprend les perspectives/idées contradictoires</b> (par exemple, reconnaît un point de vue différent, accepte différentes façons de faire les choses, peut voir une situation du point de vue de quelqu'un d'autre).","<b>Versteht widersprüchliche Perspektiven/Ideen</b> (es akzeptiert z. B. einen anderen Standpunkt, akzeptiert andere Vorgehensweisen, kann eine Situation aus dem Blickwinkel eines anderen sehen).","<b>Entiende las posiciones o ideas contradictorias</b> (p. ej., reconoce un punto de vista diferente, acepta distintas formas de hacer las cosas, puede ver una situación desde la perspectiva de otra persona).","<b>Understands conflicting perspectives/ideas</b> (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective)."
ChildEFQ32,parent_survey_child,"<b>Checks for mistakes before completing a task</b> (e.g., reviews and corrects errors on class assignments).","<b>Checks for mistakes before completing a task</b> (e.g., reviews and corrects errors on class assignments).","<b>Prüft, ob es Fehler gibt, bevor es eine Aufgabe erledigt</b> (z. B. prüft und korrigiert es Fehler bei Klassenarbeiten).","<b>Prüft, ob es Fehler gibt, bevor es eine Aufgabe erledigt</b> (z. B. prüft und korrigiert es Fehler bei Klassenarbeiten).","<b>Verifica si hay errores antes de completar una tarea</b> (p. ej., revisa y corrige los errores en las tareas de clase).","<b>Verifica si hay errores antes de completar una tarea</b> (p. ej., revisa y corrige los errores en las tareas de clase).","<b>Verifica si hay errores antes de completar una tarea</b> (p. ej., revisa y corrige los errores en las tareas de clase).","<b>Vérifie les erreurs avant de terminer une tâche</b> (par exemple, révise et corrige les erreurs sur les devoirs de classe).","<b>Vérifie les erreurs avant de terminer une tâche</b> (par exemple, révise et corrige les erreurs sur les devoirs de classe).","<b>Controleert op fouten voordat het voltooien van een taak</b> (bijv., doorneemt en corrigeert fouten op klassenopdrachten).","<b>Checks for mistakes before completing a task</b> (e.g., reviews and corrects errors on class assignments).","<b>Verifica si hay errores antes de completar una tarea</b> (p. ej., revisa y corrige los errores en las tareas de clase).","<b>Vérifie les erreurs avant de terminer une tâche</b> (par exemple, révise et corrige les erreurs sur les devoirs de classe).","<b>Prüft, ob es Fehler gibt, bevor es eine Aufgabe erledigt</b> (z. B. prüft und korrigiert es Fehler bei Klassenarbeiten).","<b>Verifica si hay errores antes de completar una tarea</b> (p. ej., revisa y corrige los errores en las tareas de clase).","<b>Checks for mistakes before completing a task</b> (e.g., reviews and corrects errors on class assignments)."
ChildEFQ5,parent_survey_child,"<b>Persists on a difficult cognitive/learning task</b> (e.g., homework) <b>by trying to figure things out, asking questions, and not quitting.</b>","<b>Persists on a difficult cognitive/learning task</b> (e.g., homework) <b>by trying to figure things out, asking questions, and not quitting.</b>","<b>Bleibt bei einer schwierigen kognitiven Aufgabe/Lernaufgabe</b> (z. B. Hausaufgaben)<b> indem er versucht, Dinge herauszufinden, Fragen stellt und nicht aufgibt.</b>","<b>Bleibt bei schwierigen kognitiven/lernbezogenen Aufgaben</b> (z. B. Hausaufgaben) <b>indem es versucht, Dinge herauszufinden, Fragen stellt und nicht aufgibt.</b>","<b>Persiste en tareas con alta demanda cognitiva / de aprendizaje</b> (p. ej., los deberes) <b>tratando de resolver las cosas, haciendo preguntas, y no abandonando la actividad.</b>","<b>Persiste en tareas con alta demanda cognitiva / de aprendizaje</b> (p. ej., los deberes) <b>tratando de resolver las cosas, haciendo preguntas, y no abandonando la actividad.</b>","<b>Persiste en tareas con alta demanda cognitiva / de aprendizaje</b> (p. ej., los deberes) <b>tratando de resolver las cosas, haciendo preguntas, y no abandonando la actividad.</b>","<b>Persévère sur une tâche cognitive/apprentissage difficile</b> (par exemple, des devoirs) <b>en essayant de résoudre les ennuis, posant des questions et ne renonçant pas.</b>","<b>Persévère sur une tâche cognitive/apprentissage difficile</b> (par exemple, des devoirs) <b>en essayant de résoudre les ennuis, posant des questions et ne renonçant pas.</b>","<b>Houdt vol bij een moeilijke cognitieve/leer taak</b> (bijv., huiswerk) <b>door dingen uit te zoeken, vragen te stellen, en niet op te geven.</b>","<b>Persists on a difficult cognitive/learning task</b> (e.g., homework) <b>by trying to figure things out, asking questions, and not quitting.</b>","<b>Persiste en tareas con alta demanda cognitiva / de aprendizaje</b> (p. ej., los deberes) <b>tratando de resolver las cosas, haciendo preguntas, y no abandonando la actividad.</b>","<b>Persévère sur une tâche cognitive/apprentissage difficile</b> (par exemple, des devoirs) <b>en essayant de résoudre les ennuis, posant des questions et ne renonçant pas.</b>","<b>Bleibt bei schwierigen kognitiven/lernbezogenen Aufgaben</b> (z. B. Hausaufgaben) <b>indem es versucht, Dinge herauszufinden, Fragen stellt und nicht aufgibt.</b>","<b>Persiste en tareas con alta demanda cognitiva / de aprendizaje</b> (p. ej., los deberes) <b>tratando de resolver las cosas, haciendo preguntas, y no abandonando la actividad.</b>","<b>Persists on a difficult cognitive/learning task</b> (e.g., homework) <b>by trying to figure things out, asking questions, and not quitting.</b>"
